Utente1,Utente2,ScoreML
51_M_20,51_M_3,0.574175190340691
51_M_20,51_M_4,0.58338939971593
51_M_20,51_M_5,0.563386907095257
51_M_20,51_M_6,0.566638072213991
51_M_20,51_M_7,0.590623033354311
51_M_20,51_M_8,0.488796807857581
51_M_20,51_M_9,0.516285460276408
51_M_20,58_M_1,0.170518667388112
51_M_20,58_M_2,0.172133809678467
51_M_20,58_M_3,0.182859833621096
51_M_20,58_M_4,0.165857740585774
51_M_20,58_M_5,0.156046605062274
51_M_20,58_M_6,0.204756146715034
51_M_20,58_M_7,0.166306522609044
51_M_20,58_M_8,0.166652806652807
51_M_20,58_M_9,0.20802647910633
51_M_20,75_M_1,0.265968258932062
51_M_20,75_M_10,0.276835724698841
51_M_20,75_M_11,0.298594935757758
51_M_20,75_M_12,0.291369390103567
51_M_20,75_M_13,0.278942854915413
51_M_20,75_M_14,0.269015575381824
51_M_20,75_M_15,0.301908871498574
51_M_20,75_M_16,0.257895155516665
51_M_20,75_M_17,0.285671730711945
51_M_20,75_M_18,0.250393570304085
51_M_20,75_M_19,0.241428799234572
51_M_20,75_M_2,0.26994893681884
51_M_20,75_M_20,0.249783447515552
51_M_20,75_M_3,0.254912792991871
51_M_20,75_M_4,0.279045488441462
51_M_20,75_M_5,0.259137254901961
51_M_20,75_M_6,0.287046236148261
51_M_20,75_M_7,0.271588564692013
51_M_20,75_M_8,0.239679419325571
51_M_20,75_M_9,0.289262343842951
51_M_20,86_M_1,0.227169597277368
51_M_20,86_M_10,0.169521229984864
51_M_20,86_M_11,0.184133679428942
51_M_20,86_M_12,0.185877894043009
51_M_20,86_M_2,0.20047537087124
51_M_20,86_M_3,0.188733290897518
51_M_20,86_M_4,0.192685378489136
51_M_20,86_M_5,0.209110696517413
51_M_20,86_M_6,0.223417332513829
51_M_20,86_M_7,0.179129896268772
51_M_20,86_M_8,0.165965520085787
51_M_20,86_M_9,0.191316354710034
51_M_20,8_M_1,0.18804073195008
51_M_20,8_M_10,0.194484760522496
51_M_20,8_M_11,0.198113930844131
51_M_20,8_M_2,0.189589693945938
51_M_20,8_M_3,0.192737223578138
51_M_20,8_M_4,0.212791215313845
51_M_20,8_M_5,0.194980104071013
51_M_20,8_M_6,0.194920868605079
51_M_20,8_M_7,0.19509586738981
51_M_20,8_M_8,0.188772542175684
51_M_20,8_M_9,0.184765983481187
51_M_3,51_M_4,0.712665258546507
51_M_3,51_M_5,0.688389017532253
51_M_3,51_M_6,0.645680940248212
51_M_3,51_M_7,0.603171939246455
51_M_3,51_M_8,0.499427636958299
51_M_3,51_M_9,0.509360034828037
51_M_3,58_M_1,0.193758888981846
51_M_3,58_M_2,0.182741116751269
51_M_3,58_M_3,0.204192480692523
51_M_3,58_M_4,0.145113788487282
51_M_3,58_M_5,0.17114270668773
51_M_3,58_M_6,0.217039081278376
51_M_3,58_M_7,0.182538344850834
51_M_3,58_M_8,0.181513494443464
51_M_3,58_M_9,0.178339284079465
51_M_3,75_M_1,0.234072022160665
51_M_3,75_M_10,0.254911433172303
51_M_3,75_M_11,0.254789272030651
51_M_3,75_M_12,0.235076427996782
51_M_3,75_M_13,0.240896358543417
51_M_3,75_M_14,0.241747572815534
51_M_3,75_M_15,0.237922798366592
51_M_3,75_M_16,0.225502460178467
51_M_3,75_M_17,0.250181232380185
51_M_3,75_M_18,0.215443611643716
51_M_3,75_M_19,0.217932648115651
51_M_3,75_M_2,0.234663680716628
51_M_3,75_M_20,0.217272434866517
51_M_3,75_M_3,0.236824093086927
51_M_3,75_M_4,0.244654088050314
51_M_3,75_M_5,0.237131581157108
51_M_3,75_M_6,0.242959781980345
