Utente1,Utente2,ScoreML
1_M_1,1_M_2,0.394916911045943
1_M_1,1_M_3,0.441111111111111
1_M_1,1_M_4,0.422187981510015
1_M_1,1_M_5,0.437604924454393
1_M_1,7_M_1,0.154020385050963
1_M_1,7_M_2,0.179621848739496
1_M_1,7_M_3,0.183019827147941
1_M_1,7_M_4,0.18830242510699
1_M_1,7_M_5,0.151975683890578
1_M_2,1_M_3,0.480314960629921
1_M_2,1_M_4,0.440091116173121
1_M_2,1_M_5,0.414136386261822
1_M_2,7_M_1,0.184553660982949
1_M_2,7_M_2,0.169958658704639
1_M_2,7_M_3,0.17816091954023
1_M_2,7_M_4,0.182532751091703
1_M_2,7_M_5,0.170798898071625
1_M_3,1_M_4,0.548565676899849
1_M_3,1_M_5,0.484444444444444
1_M_3,7_M_1,0.132882882882883
1_M_3,7_M_2,0.13828689370485
1_M_3,7_M_3,0.154484188698808
1_M_3,7_M_4,0.175124378109453
1_M_3,7_M_5,0.133946830265849
1_M_4,1_M_5,0.587212276214834
1_M_4,7_M_1,0.162361623616236
1_M_4,7_M_2,0.194911185789726
1_M_4,7_M_3,0.158883004333173
1_M_4,7_M_4,0.162308385933273
1_M_4,7_M_5,0.149381541389153
1_M_5,7_M_1,0.164289788933257
1_M_5,7_M_2,0.159747766684183
1_M_5,7_M_3,0.170641229464759
1_M_5,7_M_4,0.163509471585244
1_M_5,7_M_5,0.165023352361183
7_M_1,7_M_2,0.410583047525723
7_M_1,7_M_3,0.400624349635796
7_M_1,7_M_4,0.426590148254424
7_M_1,7_M_5,0.463293650793651
7_M_2,7_M_3,0.36945107398568
7_M_2,7_M_4,0.505281690140845
7_M_2,7_M_5,0.451230628988149
7_M_3,7_M_4,0.418478260869565
7_M_3,7_M_5,0.601626016260163
7_M_4,7_M_5,0.470894874022589
