Utente1,Utente2,ScoreML
12_M_1,12_M_2,0.543130990415335
12_M_1,12_M_3,0.507192328183271
12_M_1,12_M_4,0.256462240243284
12_M_1,12_M_5,0.293740758994579
12_M_1,13_M_1,0.268435013262599
12_M_1,13_M_2,0.185068349106204
12_M_1,13_M_3,0.221212121212121
12_M_1,13_M_4,0.232198142414861
12_M_1,13_M_5,0.191751472951259
12_M_1,15_M_1,0.20253164556962
12_M_1,15_M_2,0.172812328013209
12_M_1,15_M_3,0.197944835045971
12_M_1,15_M_4,0.130062749572162
12_M_1,15_M_5,0.162738496071829
12_M_1,1_M_1,0.213774104683196
12_M_1,1_M_2,0.202543570419218
12_M_1,1_M_3,0.198941798941799
12_M_1,1_M_4,0.196021348859777
12_M_1,1_M_5,0.172450052576236
12_M_1,7_M_1,0.189920424403183
12_M_1,7_M_2,0.155386081982841
12_M_1,7_M_3,0.204781704781705
12_M_1,7_M_4,0.18762677484787
12_M_1,7_M_5,0.175545408422121
12_M_1,8_M_1,0.145100162425555
12_M_1,8_M_2,0.225186766275347
12_M_1,8_M_3,0.181443298969072
12_M_1,8_M_4,0.230470914127424
12_M_1,8_M_5,0.234224598930481
12_M_2,12_M_3,0.618012422360248
12_M_2,12_M_4,0.523858921161826
12_M_2,12_M_5,0.470341207349081
12_M_2,13_M_1,0.237045203969129
12_M_2,13_M_2,0.194671016856987
12_M_2,13_M_3,0.171922685656155
12_M_2,13_M_4,0.172113289760349
12_M_2,13_M_5,0.179515418502203
12_M_2,15_M_1,0.215697346132129
12_M_2,15_M_2,0.200455580865604
12_M_2,15_M_3,0.201111111111111
12_M_2,15_M_4,0.173706127305175
12_M_2,15_M_5,0.18739542665923
12_M_2,1_M_1,0.204472843450479
12_M_2,1_M_2,0.207741303282705
12_M_2,1_M_3,0.173127987254381
12_M_2,1_M_4,0.192023633677991
12_M_2,1_M_5,0.190322580645161
12_M_2,7_M_1,0.135411069317571
12_M_2,7_M_2,0.145185185185185
12_M_2,7_M_3,0.184788157223073
12_M_2,7_M_4,0.174368747022392
12_M_2,7_M_5,0.15929203539823
12_M_2,8_M_1,0.171926006528836
12_M_2,8_M_2,0.228571428571429
12_M_2,8_M_3,0.203972088030059
12_M_2,8_M_4,0.236753100338219
12_M_2,8_M_5,0.208724461623412
12_M_3,12_M_4,0.570663811563169
12_M_3,12_M_5,0.547872340425532
12_M_3,13_M_1,0.2168409466153
12_M_3,13_M_2,0.235033259423503
12_M_3,13_M_3,0.231822971548999
12_M_3,13_M_4,0.24349750968456
12_M_3,13_M_5,0.201617250673854
12_M_3,15_M_1,0.189509306260575
12_M_3,15_M_2,0.208333333333333
12_M_3,15_M_3,0.232505643340858
12_M_3,15_M_4,0.164415736934821
12_M_3,15_M_5,0.202816901408451
12_M_3,1_M_1,0.187862796833773
12_M_3,1_M_2,0.192344497607656
12_M_3,1_M_3,0.181123840698309
12_M_3,1_M_4,0.204221894943544
12_M_3,1_M_5,0.20021645021645
12_M_3,7_M_1,0.196448390677026
12_M_3,7_M_2,0.167473378509197
12_M_3,7_M_3,0.185185185185185
12_M_3,7_M_4,0.192599620493359
12_M_3,7_M_5,0.164157357940748
12_M_3,8_M_1,0.188034188034188
12_M_3,8_M_2,0.191823899371069
12_M_3,8_M_3,0.199071686436307
12_M_3,8_M_4,0.224523160762943
12_M_3,8_M_5,0.22270505160239
12_M_4,12_M_5,0.639540949400104
12_M_4,13_M_1,0.207679826933478
12_M_4,13_M_2,0.236899563318777
12_M_4,13_M_3,0.183620239958268
12_M_4,13_M_4,0.212857914640735
12_M_4,13_M_5,0.199530516431925
12_M_4,15_M_1,0.183352080989876
12_M_4,15_M_2,0.182741116751269
12_M_4,15_M_3,0.156840934371524
12_M_4,15_M_4,0.162668227033353
12_M_4,15_M_5,0.196648044692737
12_M_4,1_M_1,0.179775280898876
12_M_4,1_M_2,0.188698284561049
12_M_4,1_M_3,0.172207084468665
12_M_4,1_M_4,0.206122448979592
12_M_4,1_M_5,0.166485310119695
12_M_4,7_M_1,0.158469945355191
12_M_4,7_M_2,0.166086524117355
12_M_4,7_M_3,0.216640502354788
12_M_4,7_M_4,0.183468705207836
12_M_4,7_M_5,0.181191531265387
12_M_4,8_M_1,0.170114942528736
12_M_4,8_M_2,0.192744991878722
12_M_4,8_M_3,0.186854970124932
12_M_4,8_M_4,0.226872246696035
12_M_4,8_M_5,0.197136563876652
12_M_5,13_M_1,0.199786324786325
12_M_5,13_M_2,0.216905901116427
12_M_5,13_M_3,0.186491935483871
